Pos,OnstreetName,FromStreet,ToStreetName,Shape.STLength()
"-73.97360737985268 40.74792545480034,-73.97314042639765 40.748538367377584",2 AVENUE,EAST   39 STREET,EAST   40 STREET,258.08
"-73.97360737985268 40.74792545480034,-73.97314042639765 40.748538367377584",2 AVENUE,EAST   39 STREET,EAST   40 STREET,258.08
"-73.97314042639765 40.748538367377584,-73.97269251908637 40.749156171374814",2 AVENUE,EAST   40 STREET,EAST   41 STREET,257.03
"-73.97314042639765 40.748538367377584,-73.97269251908637 40.749156171374814",2 AVENUE,EAST   40 STREET,EAST   41 STREET,257.03
"-73.95555324407474 40.77265407540391,-73.95505481617236 40.77333685058374",2 AVENUE,EAST   78 STREET,EAST   79 STREET,284.50
"-73.95555324407474 40.77265407540391,-73.95505481617236 40.77333685058374",2 AVENUE,EAST   78 STREET,EAST   79 STREET,284.50
"-73.93636118027611 40.79893545440746,-73.93589582165556 40.7995775012407",2 AVENUE,EAST  119 STREET,EAST  120 STREET,267.06
"-73.93636118027611 40.79893545440746,-73.93589582165556 40.7995775012407",2 AVENUE,EAST  119 STREET,EAST  120 STREET,267.06
"-73.93537355609422 40.80016244779767,-73.9356488250821 40.799853551300565,-73.9358644363207 40.7996116973592,-73.93589582165556 40.7995775012407",2 AVENUE,EAST  120 STREET,EAST  121 STREET,257.54
"-73.93537355609422 40.80016244779767,-73.9356488250821 40.799853551300565,-73.9358644363207 40.7996116973592,-73.93589582165556 40.7995775012407",2 AVENUE,EAST  120 STREET,EAST  121 STREET,257.54
"-73.93491627880546 40.800791261354235,-73.93521336466873 40.80038273258511,-73.9352434755439 40.80034132743437,-73.93537355609422 40.80016244779767",2 AVENUE,EAST  121 STREET,EAST  122 STREET,261.75
"-73.93491627880546 40.800791261354235,-73.93521336466873 40.80038273258511,-73.9352434755439 40.80034132743437,-73.93537355609422 40.80016244779767",2 AVENUE,EAST  121 STREET,EAST  122 STREET,261.75
"-73.934454668435 40.801419179080995,-73.93447500097629 40.80139152100093,-73.93481758661812 40.800925511457336,-73.93484955219022 40.80088202820867,-73.93491627880546 40.800791261354235",2 AVENUE,EAST  122 STREET,EAST  123 STREET,262.05
