Through,From,To,Distance
5 AVENUE,EAST   69 STREET,EAST   70 STREET,261.25
5 AVENUE,EAST   70 STREET,EAST   71 STREET,262.09
5 AVENUE,EAST   70 STREET,EAST   71 STREET,262.09
5 AVENUE,EAST   71 STREET,EAST   72 STREET,284.70
5 AVENUE,EAST   71 STREET,EAST   72 STREET,284.70
5 AVENUE,EAST   72 STREET,EAST   73 STREET,284.01
5 AVENUE,EAST   73 STREET,EAST   74 STREET,263.58
5 AVENUE,EAST   73 STREET,EAST   74 STREET,263.58
5 AVENUE,EAST   74 STREET,EAST   75 STREET,264.51
5 AVENUE,EAST   74 STREET,EAST   75 STREET,264.51
5 AVENUE,EAST   75 STREET,EAST   76 STREET,265.06
5 AVENUE,EAST   75 STREET,EAST   76 STREET,265.06
5 AVENUE,EAST   76 STREET,EAST   77 STREET,263.44
5 AVENUE,EAST   76 STREET,EAST   77 STREET,263.44
5 AVENUE,EAST   77 STREET,EAST   78 STREET,263.43
5 AVENUE,EAST   77 STREET,EAST   78 STREET,263.43
5 AVENUE,EAST   78 STREET,EAST   79 STREET,289.05
5 AVENUE,EAST   78 STREET,EAST   79 STREET,289.05
5 AVENUE,EAST   79 STREET,EAST   80 STREET,280.54
5 AVENUE,EAST   79 STREET,EAST   80 STREET,280.54
5 AVENUE,EAST   81 STREET,EAST   82 STREET,264.27
5 AVENUE,EAST   81 STREET,EAST   82 STREET,264.27
5 AVENUE,EAST   82 STREET,EAST   83 STREET,265.50
5 AVENUE,EAST   82 STREET,EAST   83 STREET,265.50
5 AVENUE,EAST   83 STREET,EAST   84 STREET,268.77
5 AVENUE,EAST   83 STREET,EAST   84 STREET,268.77
5 AVENUE,EAST   84 STREET,EAST   85 STREET,261.46
5 AVENUE,EAST   84 STREET,EAST   85 STREET,261.46
5 AVENUE,EAST   85 STREET,EAST   86 STREET,279.20
5 AVENUE,EAST   85 STREET,EAST   86 STREET,279.20
5 AVENUE,EAST   86 STREET,EAST   87 STREET,285.70
5 AVENUE,EAST   86 STREET,EAST   87 STREET,285.70
5 AVENUE,EAST   87 STREET,EAST   88 STREET,258.36
5 AVENUE,EAST   87 STREET,EAST   88 STREET,258.36
5 AVENUE,EAST   88 STREET,EAST   89 STREET,261.50
5 AVENUE,EAST   88 STREET,EAST   89 STREET,261.50
5 AVENUE,EAST   89 STREET,EAST   90 STREET,257.83
5 AVENUE,EAST   89 STREET,EAST   90 STREET,257.83
5 AVENUE,EAST   90 STREET,EAST   91 STREET,262.99
5 AVENUE,EAST   90 STREET,EAST   91 STREET,262.99
5 AVENUE,EAST   91 STREET,EAST   92 STREET,263.67
5 AVENUE,EAST   91 STREET,EAST   92 STREET,263.67
5 AVENUE,EAST   92 STREET,EAST   93 STREET,266.52
5 AVENUE,EAST   92 STREET,EAST   93 STREET,266.52
5 AVENUE,EAST   93 STREET,EAST   94 STREET,257.30
5 AVENUE,EAST   93 STREET,EAST   94 STREET,257.30
5 AVENUE,EAST  104 STREET,EAST  105 STREET,262.60
5 AVENUE,EAST  104 STREET,EAST  105 STREET,262.60
5 AVENUE,EAST  105 STREET,EAST  106 STREET,281.80
5 AVENUE,EAST  105 STREET,EAST  106 STREET,281.80
5 AVENUE,EAST  106 STREET,EAST  107 STREET,279.69
5 AVENUE,EAST  106 STREET,EAST  107 STREET,279.69
5 AVENUE,EAST  107 STREET,EAST  108 STREET,263.35
5 AVENUE,EAST  107 STREET,EAST  108 STREET,263.35
5 AVENUE,EAST  108 STREET,EAST  109 STREET,262.61
5 AVENUE,EAST  108 STREET,EAST  109 STREET,262.61
5 AVENUE,EAST  111 STREET,FRAWLEY CIRCLE,159.17
5 AVENUE,EAST  112 STREET,EAST  115 STREET,763.47
5 AVENUE,EAST  115 STREET,EAST  116 STREET,292.97
5 AVENUE,EAST  116 STREET,EAST  117 STREET,281.99
5 AVENUE,EAST  117 STREET,EAST  118 STREET,261.71
5 AVENUE,EAST  118 STREET,EAST  119 STREET,261.62
5 AVENUE,EAST  126 STREET,EAST  127 STREET,259.88
5 AVENUE,EAST  126 STREET,EAST  127 STREET,259.88
5 AVENUE,EAST  127 STREET,EAST  128 STREET,259.17
5 AVENUE,EAST  128 STREET,EAST  129 STREET,260.15
5 AVENUE,EAST  129 STREET,EAST  130 STREET,259.65
5 AVENUE,EAST  130 STREET,EAST  131 STREET,260.96
5 AVENUE,EAST  131 STREET,EAST  132 STREET,270.35
5 AVENUE,WEST   24 STREET,WEST   25 STREET,207.16
6 AVENUE,BROADWAY,WEST   33 STREET,150.38
6 AVENUE,BROADWAY,WEST   33 STREET,150.38
6 AVENUE,BROADWAY,WEST   34 STREET,121.91
6 AVENUE,BROADWAY,WEST   34 STREET,121.91
6 AVENUE,BROOME STREET,DOMINICK STREET,249.41
6 AVENUE,BROOME STREET,DOMINICK STREET,249.41
6 AVENUE,BROOME STREET,DOMINICK STREET,249.41
6 AVENUE,CANAL STREET,GRAND STREET,767.73
6 AVENUE,CANAL STREET,GRAND STREET,767.73
6 AVENUE,CHARLTON STREET,KING STREET,268.54
6 AVENUE,CHARLTON STREET,KING STREET,268.54
6 AVENUE,CHARLTON STREET,MAC DOUGAL STREET,269.79
6 AVENUE,DOMINICK STREET,SPRING STREET,260.34
6 AVENUE,DOMINICK STREET,SPRING STREET,260.34
6 AVENUE,DOMINICK STREET,SPRING STREET,260.34
6 AVENUE,GRAND STREET,WATTS STREET,247.57
6 AVENUE,KING STREET,WEST HOUSTON STREET,508.27
6 AVENUE,KING STREET,WEST HOUSTON STREET,508.27
6 AVENUE,MAC DOUGAL STREET,SPRING STREET,281.33
6 AVENUE,MAC DOUGAL STREET,SPRING STREET,281.33
6 AVENUE,WEST   26 STREET,WEST   27 STREET,257.48
6 AVENUE,WEST   26 STREET,WEST   27 STREET,257.48
6 AVENUE,WEST   27 STREET,WEST   28 STREET,258.28
6 AVENUE,WEST   27 STREET,WEST   28 STREET,258.28
6 AVENUE,WEST   28 STREET,WEST   29 STREET,257.36
6 AVENUE,WEST   28 STREET,WEST   29 STREET,257.36
6 AVENUE,WEST   29 STREET,WEST   30 STREET,257.19
6 AVENUE,WEST   29 STREET,WEST   30 STREET,257.19
6 AVENUE,WEST   30 STREET,WEST   31 STREET,257.74
6 AVENUE,WEST   30 STREET,WEST   31 STREET,257.74
6 AVENUE,WEST   31 STREET,WEST   32 STREET,257.66
6 AVENUE,WEST   31 STREET,WEST   32 STREET,257.66
6 AVENUE,WEST   32 STREET,WEST   33 STREET,260.66
6 AVENUE,WEST   34 STREET,WEST   35 STREET,275.62
6 AVENUE,WEST   34 STREET,WEST   35 STREET,275.62
7 AVENUE,WEST   59 STREET,WEST   58 STREET,279.13
7 AVENUE,WEST   12 STREET,WEST   13 STREET,264.84
7 AVENUE,WEST   12 STREET,WEST   13 STREET,264.84
7 AVENUE,WEST   23 STREET,WEST   24 STREET,276.70
7 AVENUE,WEST   23 STREET,WEST   24 STREET,276.70
7 AVENUE,WEST   24 STREET,WEST   25 STREET,258.23
7 AVENUE,WEST   24 STREET,WEST   25 STREET,258.23
7 AVENUE,WEST   25 STREET,WEST   26 STREET,257.98
7 AVENUE,WEST   25 STREET,WEST   26 STREET,257.98
7 AVENUE,WEST   26 STREET,WEST   27 STREET,255.94
7 AVENUE,WEST   26 STREET,WEST   27 STREET,255.94
7 AVENUE,WEST   27 STREET,WEST   28 STREET,257.78
7 AVENUE,WEST   27 STREET,WEST   28 STREET,257.78
7 AVENUE,WEST   28 STREET,WEST   29 STREET,257.89
7 AVENUE,WEST   28 STREET,WEST   29 STREET,257.89
7 AVENUE,WEST   29 STREET,WEST   30 STREET,255.93
7 AVENUE,WEST   29 STREET,WEST   30 STREET,255.93
7 AVENUE,WEST   30 STREET,WEST   31 STREET,262.67
7 AVENUE,WEST   30 STREET,WEST   31 STREET,262.67
7 AVENUE,WEST   31 STREET,WEST   32 STREET,252.06
7 AVENUE,WEST   31 STREET,WEST   32 STREET,252.06
7 AVENUE,WEST   46 STREET,WEST   47 STREET,257.30
7 AVENUE,WEST   48 STREET,WEST   49 STREET,255.70
7 AVENUE,WEST   48 STREET,WEST   49 STREET,255.70
7 AVENUE,WEST   49 STREET,WEST   50 STREET,265.59
7 AVENUE,WEST   49 STREET,WEST   50 STREET,265.59
7 AVENUE,WEST   50 STREET,WEST   51 STREET,260.32
7 AVENUE,WEST   50 STREET,WEST   51 STREET,260.32
7 AVENUE,WEST   51 STREET,WEST   52 STREET,260.35
7 AVENUE,WEST   51 STREET,WEST   52 STREET,260.35
7 AVENUE,WEST   52 STREET,WEST   53 STREET,260.57
7 AVENUE,WEST   52 STREET,WEST   53 STREET,260.57
7 AVENUE,WEST   53 STREET,WEST   54 STREET,261.33
7 AVENUE,WEST   53 STREET,WEST   54 STREET,261.33
7 AVENUE,WEST   54 STREET,WEST   55 STREET,261.03
7 AVENUE,WEST   54 STREET,WEST   55 STREET,261.03
7 AVENUE,WEST   55 STREET,WEST   56 STREET,258.64
7 AVENUE,WEST   55 STREET,WEST   56 STREET,258.64
7 AVENUE,WEST   56 STREET,WEST   57 STREET,281.99
7 AVENUE,WEST   57 STREET,WEST   58 STREET,281.55
7 AVENUE,WEST  137 STREET,WEST  138 STREET,260.21
7 AVENUE,WEST  137 STREET,WEST  138 STREET,260.21
7 AVENUE,WEST  138 STREET,WEST  139 STREET,259.33
7 AVENUE,WEST  138 STREET,WEST  139 STREET,259.33
7 AVENUE,WEST  139 STREET,WEST  140 STREET,259.38
7 AVENUE,WEST  139 STREET,WEST  140 STREET,259.38
7 AVENUE,WEST  140 STREET,WEST  141 STREET,261.14
7 AVENUE,WEST  140 STREET,WEST  141 STREET,261.14
7 AVENUE,WEST  141 STREET,WEST  142 STREET,259.71
7 AVENUE,WEST  141 STREET,WEST  142 STREET,259.71
7 AVENUE,WEST  142 STREET,WEST  143 STREET,258.98
7 AVENUE,WEST  142 STREET,WEST  143 STREET,258.98
7 AVENUE,WEST  143 STREET,WEST  144 STREET,259.95
7 AVENUE,WEST  143 STREET,WEST  144 STREET,259.95
7 AVENUE,WEST  144 STREET,WEST  145 STREET,279.76
7 AVENUE,WEST  144 STREET,WEST  145 STREET,279.76
7 AVENUE,WEST  145 STREET,WEST  146 STREET,280.21
7 AVENUE,WEST  145 STREET,WEST  146 STREET,280.21
7 AVENUE,WEST  146 STREET,WEST  147 STREET,259.78
7 AVENUE,WEST  146 STREET,WEST  147 STREET,259.78
7 AVENUE,WEST  147 STREET,WEST  148 STREET,262.95
7 AVENUE,WEST  147 STREET,WEST  148 STREET,262.95
7 AVENUE SOUTH,7 AVENUE,PERRY STREET,306.51
7 AVENUE SOUTH,BARROW STREET,COMMERCE STREET,136.88
7 AVENUE SOUTH,BARROW STREET,GROVE STREET,330.10
7 AVENUE SOUTH,BARROW STREET,GROVE STREET,330.10
7 AVENUE SOUTH,BEDFORD STREET,LEROY STREET,157.87
7 AVENUE SOUTH,BEDFORD STREET,LEROY STREET,157.87
7 AVENUE SOUTH,BEDFORD STREET,MORTON STREET,162.90
7 AVENUE SOUTH,BEDFORD STREET,MORTON STREET,162.90
7 AVENUE SOUTH,CARMINE STREET,LEROY STREET,317.55
7 AVENUE SOUTH,CARMINE STREET,LEROY STREET,317.55
7 AVENUE SOUTH,CHARLES STREET,WAVERLY PLACE,186.05
7 AVENUE SOUTH,CHARLES STREET,WEST   10 STREET,290.31
7 AVENUE SOUTH,CHARLES STREET,WEST   10 STREET,290.31
7 AVENUE SOUTH,CHRISTOPHER STREET,GROVE STREET,166.62
7 AVENUE SOUTH,COMMERCE STREET,MORTON STREET,303.77
7 AVENUE SOUTH,COMMERCE STREET,MORTON STREET,303.77
7 AVENUE SOUTH,PERRY STREET,WAVERLY PLACE,103.33
7 AVENUE SOUTH,PERRY STREET,WAVERLY PLACE,103.33
8 AVENUE,FRED DOUGLASS CIRCLE,WEST  111 STREET,180.42
8 AVENUE,FRED DOUGLASS CIRCLE,WEST  111 STREET,180.42
8 AVENUE,ST NICHOLAS AVENUE,WEST  121 STREET,70.56
8 AVENUE,ST NICHOLAS AVENUE,WEST  121 STREET,70.56
8 AVENUE,ST NICHOLAS AVENUE,WEST  122 STREET,190.45
8 AVENUE,ST NICHOLAS AVENUE,WEST  122 STREET,190.45
8 AVENUE,WEST   20 STREET,WEST   21 STREET,243.52
8 AVENUE,WEST   20 STREET,WEST   21 STREET,243.52
8 AVENUE,WEST   21 STREET,WEST   22 STREET,258.15
8 AVENUE,WEST   21 STREET,WEST   22 STREET,258.15
8 AVENUE,WEST   22 STREET,WEST   23 STREET,276.89
8 AVENUE,WEST   22 STREET,WEST   23 STREET,276.89
