"[324, 325]",226,127,142,263.20
"[325, 326]",226,142,144,515.99
"[326, 327]",226,144,145,251.18
"[326, 327]",226,144,145,251.18
"[328, 329]",226,231,232,280.43
"[328, 329]",226,231,232,280.43
"[329, 330]",226,232,233,393.23
"[329, 330]",226,232,233,393.23
"[330, 331]",226,233,234,269.87
"[330, 331]",226,233,234,269.87
"[331, 332]",226,234,235,258.62
"[331, 332]",226,234,235,258.62
"[333, 334]",236,230,237,265.86
"[333, 334]",236,230,237,265.86
"[335, 336]",236,155,126,277.17
"[335, 337]",236,126,127,257.60
"[335, 337]",236,126,127,257.60
"[338, 337]",236,127,142,257.44
"[339, 338]",236,142,143,257.20
"[339, 340]",236,143,144,257.78
"[339, 340]",236,143,144,257.78
"[340, 341]",236,144,145,257.71
"[340, 341]",236,144,145,257.71
"[340, 341]",236,144,145,257.71
"[341, 342]",236,145,146,255.67
"[343, 344]",236,157,158,260.06
"[343, 344]",236,157,158,260.06
"[343, 344]",236,157,158,260.06
"[344, 345]",236,158,159,260.90
"[345, 346]",236,159,160,261.02
"[347, 348]",238,151,152,260.75
"[349, 350]",238,155,126,277.75
"[349, 350]",238,155,126,277.75
"[350, 351]",238,126,127,260.46
"[350, 351]",238,126,127,260.46
"[351, 352]",238,127,142,253.53
"[351, 352]",238,127,142,253.53
"[352, 353]",238,142,143,257.84
"[352, 353]",238,142,143,257.84
"[353, 354]",238,143,144,258.05
"[353, 354]",238,143,144,258.05
"[354, 355]",238,144,145,257.14
"[354, 355]",238,144,145,257.14
"[355, 356]",238,145,146,257.88
"[355, 356]",238,145,146,257.88
"[357, 358]",238,239,240,262.79
"[357, 358]",238,239,240,262.79
"[358, 359]",238,240,241,255.43
"[358, 359]",238,240,241,255.43
"[359, 360]",238,241,242,40.38
"[359, 360]",238,241,242,40.38
"[361, 362]",238,243,244,39.50
"[361, 362]",238,243,244,39.50
"[363, 364]",238,245,246,260.38
"[363, 364]",238,245,246,260.38
"[362, 363]",238,245,244,212.65
"[364, 365]",238,246,247,277.56
"[364, 365]",238,246,247,277.56
"[365, 366]",238,247,248,281.84
"[365, 366]",238,247,248,281.84
"[366, 367]",238,248,249,257.68
"[366, 367]",238,248,249,257.68
"[368, 369]",238,159,160,261.55
"[368, 369]",238,159,160,261.55
"[369, 370]",238,160,161,260.19
"[369, 370]",238,160,161,260.19
"[370, 371]",238,161,162,261.08
"[370, 371]",238,161,162,261.08
"[371, 372]",238,162,163,260.33
"[371, 372]",238,162,163,260.33
"[372, 373]",238,163,164,260.62
"[372, 373]",238,163,164,260.62
"[373, 374]",238,164,165,259.64
"[373, 374]",238,164,165,259.64
"[374, 375]",238,165,166,263.54
"[374, 375]",238,165,166,263.54
"[375, 376]",238,166,167,280.86
"[375, 376]",238,166,167,280.86
"[376, 347]",238,167,152,280.35
"[377, 378]",250,213,218,68.46
"[377, 378]",250,213,219,68.46
"[378, 379]",250,218,219,135.56
"[380, 381]",250,219,220,257.57
"[382, 383]",250,221,222,259.16
"[384, 385]",251,129,252,322.68
"[384, 385]",251,129,252,322.68
"[386, 384]",251,129,253,393.18
"[386, 384]",251,129,253,393.18
"[385, 387]",251,252,254,257.35
"[388, 389]",251,255,256,404.08
"[389, 390]",251,256,257,402.19
"[390, 386]",251,257,253,389.78
"[391, 392]",258,236,259,266.55
"[393, 394]",258,196,260,182.92
"[395, 394]",258,196,261,337.89
"[392, 396]",258,259,262,256.12
"[397, 396]",258,262,263,262.54
"[398, 399]",258,264,265,263.70
"[398, 399]",258,264,265,263.70
"[399, 400]",258,265,266,264.62
"[399, 400]",258,265,266,264.62
"[400, 401]",258,266,267,264.42
"[400, 401]",258,266,267,264.42
"[402, 401]",258,267,268,267.26
"[402, 403]",258,268,269,261.51
"[402, 403]",258,268,269,261.51
"[403, 404]",258,269,270,283.99
"[403, 404]",258,269,270,283.99
"[404, 405]",258,270,271,285.04
"[406, 407]",258,176,177,279.53
"[406, 407]",258,176,177,279.53
"[407, 408]",258,177,178,260.37
"[407, 408]",258,177,178,260.37
"[408, 409]",258,178,179,260.44
"[408, 409]",258,178,179,260.44
"[409, 410]",258,179,225,259.49
"[409, 410]",258,179,225,259.49
"[410, 411]",258,225,272,259.15
"[410, 411]",258,225,272,259.15
"[411, 412]",258,272,273,260.32
"[411, 412]",258,272,273,260.32
"[412, 413]",258,273,274,261.17
"[412, 413]",258,273,274,261.17
"[414, 415]",258,275,276,261.74
"[414, 415]",258,275,276,261.74
"[416, 414]",258,276,277,259.31
"[416, 414]",258,276,277,259.31
"[416, 417]",258,277,278,261.16
"[417, 418]",258,278,279,257.70
"[418, 393]",258,279,260,259.87
"[419, 395]",258,261,261,42.44
"[420, 419]",258,261,280,302.68
"[421, 420]",258,280,281,283.05
"[421, 420]",258,280,281,283.05
"[422, 423]",258,282,283,263.14
